feature,score
posi_neg_q,0.5206011373
cycle_num,0.55961345668
p55,0.567198543474
p43,0.569812943991
p41,0.575148811197
p63,0.577557766834
p12,0.582071169979
p40,0.585762576288
p44,0.589888427128
p32,0.595191300439
first_phase_rate,0.599669361776
p23,0.615535551497
p39,0.615706646439
p24,0.617669086503
p46,0.621644999297
p54,0.623028398135
p42,0.623651253901
p56,0.629267880712
phase_sigma,0.632909079057
p11,0.652977885224
p25,0.657766696117
p31,0.666782390966
p47,0.669443906298
p13,0.675731826405
p9,0.683429880866
p0,0.699730535717
p7,0.709704626923
p1,0.711653863943
p57,0.725226862029
p45,0.727686572172
p62,0.730856946741
p61,0.732004285428
p53,0.737671279215
p60,0.745190088222
p38,0.781917831672
p14,0.787304475674
p5,0.796499303518
p6,0.801063197022
p10,0.805783165846
p8,0.811808697477
p59,0.819548891631
phase_skew,0.827673049103
p28,0.859044136394
p29,0.865012872954
p21,0.8698157756
posi_phase_width,0.894015254744
p37,0.909429388639
p52,0.911482813551
p26,0.920544009194
p27,0.930970551793
p58,0.939996845713
p22,0.956712631138
neg_phase_width,0.9591981617
p15,0.991901456942
p4,1.00819400598
p3,1.03436567141
p33,1.0352791143
p48,1.04221994127
p2,1.07573775523
p30,1.10338729662
p20,1.10366821611
p51,1.17494930369
p34,1.20906140775
p49,1.24781152356
p50,1.32809566376
phase_mean,1.4315290681
p35,1.90532268709
p17,2.00904384138
p16,2.03783284659
p19,2.95118591914
p18,5.42779919385
p36,9.29734051265
